,Unnamed: 0,HR1_10SCALE,HR2_1,HR2_2,HR2_3,HR2_4,HR2_5,HR3,HR4,HR5,HR7_1,HR7_2,HR7_3,STIMULUS2,STIMULUS3,PERSONAL2,MEDIA5,MEDIA6_6,MEDIA11,DEMOGRAPHIC4,DEMOGRAPHIC13
550,550,10,3,2,5,3,3,4,1,2,0,0,0,B,0,1,D,4,0,NC,1
551,551,8,5,4,4,4,5,3,3,3,1,2,3,B,2,1,B,2,3,AZ,1
552,552,7,5,5,5,4,5,3,3,3,2,2,3,B,3,2,C,3,0,NY,2
553,553,2,3,2,3,2,2,3,3,2,2,2,1,A,3,2,C,1,3,CA,0
554,554,10,3,3,3,3,3,4,4,4,4,4,4,A,2,3,A,4,0,PA,1
555,555,9,5,5,5,4,4,4,4,4,1,3,3,C,1,2,A,3,4,FL,1
556,556,1,3,3,3,3,3,3,1,2,3,3,3,C,1,3,F,0,0,IL,1
557,557,1,5,5,5,5,5,4,2,4,4,4,1,C,1,2,C,5,0,CA,2
558,558,2,5,5,3,3,0,2,2,3,2,1,2,B,1,1,C,2,2,NY,0
559,559,1,5,5,5,5,5,3,1,4,3,3,3,C,2,3,F,5,4,NY,1
560,560,7,4,4,4,4,3,4,2,4,2,0,0,C,2,2,D,0,0,CA,0
561,561,1,2,2,2,2,2,4,3,4,2,2,2,B,3,2,C,4,2,CA,2
562,562,9,4,4,5,4,4,3,3,2,3,3,3,A,2,2,A,2,3,WA,1
563,563,4,3,5,4,5,5,3,3,3,3,4,4,A,2,2,C,4,0,NY,0
564,564,10,4,4,3,5,5,4,0,4,0,1,1,C,0,2,D,2,4,VA,1
565,565,3,4,3,3,4,4,3,2,3,3,3,2,B,1,2,A,2,1,MD,0
566,566,8,1,1,5,3,3,1,2,1,2,2,2,C,1,2,F,1,2,OH,0
567,567,6,3,3,3,3,3,0,0,0,0,0,0,C,1,1,C,1,0,CO,1
568,568,10,4,4,5,5,3,3,3,3,1,1,1,C,2,3,A,2,0,CA,1
569,569,3,4,4,5,5,5,4,3,4,1,2,1,C,3,0,A,3,0,NC,1
570,570,1,1,1,1,1,1,1,1,1,3,3,2,B,1,2,D,0,2,MA,0
571,571,2,3,1,3,3,1,4,3,3,2,1,1,C,0,2,F,2,4,UT,0
572,572,1,3,2,5,3,3,0,0,1,3,0,0,C,3,2,E,0,0,KS,0
573,573,4,4,2,4,3,1,1,3,3,0,3,2,C,2,2,C,3,0,PA,2
574,574,1,1,1,4,5,5,4,1,1,3,0,0,C,1,2,D,0,0,NJ,1
575,575,10,4,3,4,4,3,3,4,3,1,1,1,C,3,0,F,1,2,MN,1
576,576,9,2,2,2,2,2,3,3,2,1,1,2,C,2,1,C,5,3,NY,1
